"idx","file","title","caption","date","ts"
"55","ig-055.jpg","The moment you've been waiting for!","The moment you've been waiting for!  The results of #LOCKINorLOGIN are now LIVE. Who rose to the top?Slide to see the full breakdown!  #esport #cuhkisa #chineseuniversityofhongkong #clashroyale","Jan 2026","1768818671"
"56","ig-056.jpg","Get ready to show off your skills with your best duo with the CLASH...","Get ready to show off your skills with your best duo with the CLASH 2V2 Tournament!! Rules: - ‍‍ Pick your own teammates - Maximum of 1 evolution per deck allowed - Maximum of 1 Champions will be allowed per deck - ‍ Heros are NOT allowed - All games will be recorded - Onsite finale (Top 4) will...","Dec 2025","1765804197"
"57","ig-057.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"58","ig-058.jpg","officially beginning this new 17th chapter together","officially beginning this new 17th chapter together  thank you to everyone who attended and celebrated with us, as well as to all the student societies and friends who sent their support and warm wishes despite not being able to join us in person. we truly appreciate all the encouragement and loo...","May 2026","1778648707"
"59","ig-059.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"60","ig-060.jpg","CUHK ISA Wrapped: 2025 Edition!","CUHK ISA Wrapped: 2025 Edition! As we approach the end of the year, let's take a moment to reflect on an unforgettable journey together!  From surviving group projects to conquering exams, we did it all-together!  Cheers to making mind-blowing memories and mastering the art of procrastination. Wi...","Dec 2025","1765459523"
"61","ig-061.jpg","Get Ready, Get Set, MEET & GREET!","Get Ready, Get Set, MEET & GREET!  The moment you've been waiting for is FINALLY here! Mark your calendars, set your alarms, and get ready for the most exciting start to your CUHK journey with the ISA! We've planned an amazing few days just for YOU.  30-31 August 2025  Pomeranke Student Centre, C...","Aug 2025","1756391220"
"62","ig-062.jpg","Thanks for coming to our events and giving us unforgettable memories!","Thanks for coming to our events and giving us unforgettable memories! Here are a few words from our departing 16th Executive Committee of ISA Gut, our President  Elbert, our Secretary  Norbert, our Secretary  Abigail, our Treasurer  that's all, folks!  #cuhk #isa #cuhkisa #中大 #香港中文大學","Apr 2026","1776334543"
"63","ig-063.jpg","Remember those first-year nerves?","Remember those first-year nerves?  Now's your chance to give back! Become an iBuddy mentor at CUHK!  We're looking for senior students (Year 2 and above) to help incoming freshmen feel at home on campus.   As a mentor, you'll connect with 1-2 mentees through group chats or fun meet-ups. Share you...","Jul 2025","1752149162"
"64","ig-064.jpg","Our money guardians Treasurers keep all our funds safe and ready to...","Our money guardians Treasurers keep all our funds safe and ready to turn every cents into profit  Jessica : Hi everyone I'm Jessica, one of the treasurers for this year's cabinet! I'm a second-year Indonesian student majoring in Professional Accountancy (ironically, I'm not a fan of math at all )...","May 2026","1778914800"
